zipcode,city,female,male
07980 Kuninkaankylä   ,Loviisa ,139,159
07990 Ruotsinkylä-Koskisto   ,Loviisa ,152,158
08100 Lohja Keskus   ,Lohja ,4445,3617
08150 Keskilohja   ,Lohja ,2701,2590
08200 Ojamo   ,Lohja ,2046,1811
08350 Routio   ,Lohja ,1175,1194
08360 Kisakallio   ,Lohja ,0,0
08450 Hormajärvi   ,Lohja ,144,159
08480 Karstu   ,Lohja ,135,137
08500 Ventelä-Millola   ,Lohja ,3222,3327
08680 Muijala   ,Lohja ,868,950
08700 Virkkala   ,Lohja ,3713,3731
08800 Kirkniemi   ,Lohja ,801,832
09120 Karjalohja   ,Lohja ,629,605
09220 Sammatti   ,Lohja ,844,838
09430 Saukkola   ,Lohja ,829,865
09520 Millola   ,Lohja ,52,65
09630 Koisjärvi   ,Lohja ,233,266
09810 Nummi-Oinola   ,Lohja ,492,493
09930 Leppäkorpi   ,Lohja ,147,159
10120 Tähtelä   ,Inkoo ,308,314
10140 Päivölä   ,Inkoo ,154,151
10160 Degerby   ,Inkoo ,437,467
10210 Inkoo Keskus   ,Inkoo ,1457,1311
10230 Inkoo Asemanseutu   ,Inkoo ,197,204
10250 Fagervik   ,Inkoo ,63,69
10270 Barösund   ,Inkoo ,58,83
10300 Karjaa Keskus   ,Raasepori ,3814,3553
10320 Bäljars   ,Raasepori ,632,675
10330 Pinjainen   ,Raasepori ,315,315
10350 Meltolan sairaala-alue   ,Raasepori ,70,45
10360 Mustio   ,Raasepori ,646,707
10380 Kaunislahti   ,Raasepori ,50,64
10410 Åminnefors   ,Raasepori ,164,202
10420 Pohjankuru   ,Raasepori ,904,930
10440 Bollsta   ,Raasepori ,175,164
10470 Fiskari   ,Raasepori ,278,272
10480 Antskog   ,Raasepori ,52,56
10520 Tenhola Kirkonkylä   ,Raasepori ,871,864
10570 Bromarv   ,Raasepori ,252,244
10600 Tammisaari Keskus   ,Raasepori ,2639,2310
10620 Tammisaari   ,Raasepori ,929,979
10640 Dragsvik   ,Raasepori ,481,476
10650 Flyet   ,Raasepori ,1451,1287
10660 Trollböle   ,Raasepori ,427,466
10680 Skogby   ,Raasepori ,103,107
10710 Snappertuna   ,Raasepori ,181,185
10820 Lappohja   ,Hanko ,286,315
10900 Hanko Keskus   ,Hanko ,2163,2059
10940 Hangonkylä   ,Hanko ,1037,1048
10960 Hanko Pohjoinen   ,Hanko ,932,940
11100 Riihimäki Keskus   ,Riihim?ki ,3586,3063
11120 Pohjois-Riihimäki   ,Riihim?ki ,3570,3536
11130 Peltosaari-Patastenmäki   ,Riihim?ki ,4789,4758
11310 Taka-Kasarmi   ,Riihim?ki ,400,393
11710 Herajoki   ,Riihim?ki ,1547,1636
11910 Lasi-Kumela   ,Janakkala ,1203,1260
12100 Oitti   ,Hausj?rvi ,1363,1307
12130 Mommila   ,Hausj?rvi ,164,178
12170 Hietoinen   ,Hausj?rvi ,85,119
12210 Hausjärvi kk   ,Hausj?rvi ,109,123
12240 Hikiä   ,Hausj?rvi ,840,896
12310 Ryttylä   ,Hausj?rvi ,927,946
12350 Turkhauta   ,Hausj?rvi ,203,237
12380 Leppäkoski   ,Janakkala ,242,294
12400 Tervakoski   ,Janakkala ,2365,2346
12450 Vähikkälä   ,Janakkala ,126,153
12520 Kormu   ,Loppi ,230,248
12540 Launonen   ,Loppi ,768,812
12600 Läyliäinen   ,Loppi ,890,1007
12630 Sajaniemi   ,Loppi ,137,149
12640 Joentaka   ,Loppi ,150,171
12700 Loppi kk   ,Loppi ,1217,1133
12750 Pilpala   ,Loppi ,254,293
12820 Räyskälä   ,Loppi ,26,29
12920 Topeno   ,Loppi ,160,196
12950 Vojakkala-Eerolankulma   ,Loppi ,84,98
13100 Hämeenlinna Keskus   ,H?meenlinna ,5828,4829
13110 Kantola   ,H?meenlinna ,77,125
13130 Kauriala   ,H?meenlinna ,3389,2883
13200 Keinusaari   ,H?meenlinna ,846,633
13210 Hätilä   ,H?meenlinna ,4346,3931
13220 Sairio   ,H?meenlinna ,902,895
13250 Katuma   ,H?meenlinna ,480,562
13270 Ruununmylly   ,H?meenlinna ,789,830
13300 Käikälä   ,H?meenlinna ,1429,1424
13330 Harviala   ,Janakkala ,372,398
13430 Hattelmala   ,H?meenlinna ,575,607
13500 Jukola   ,Hattula ,6186,5676
13530 Hämeenlinna sairaala-alue   ,H?meenlinna ,0,0
13600 Ojoinen   ,H?meenlinna ,1969,1873
13700 Parolannummi   ,Hattula ,210,238
13720 Parola   ,Hattula ,2282,2230
13800 Katinala   ,Hattula ,699,666
13880 Rahkoila   ,Hattula ,621,641
13900 Pekola   ,Hattula ,438,461
14140 Jokimaa   ,Janakkala ,107,108
14200 Turenki   ,Janakkala ,4513,4373
14240 Väli-Janakkala   ,Janakkala ,424,485
14300 Renko kk   ,H?meenlinna ,1080,1086
14330 Kaloinen   ,H?meenlinna ,0,0
14370 Lukana   ,H?meenlinna ,45,50
14430 Vuohiniemi   ,Hattula ,35,36
14450 Rimmilä   ,H?meenlinna ,42,59
14500 Iittala   ,H?meenlinna ,1695,1663
14530 Leteensuo   ,Hattula ,96,136
14610 Lepaa   ,Hattula ,220,229
14620 Tyrväntö   ,Hattula ,78,86
14680 Alvettula   ,H?meenlinna ,287,316
14690 Torvoila   ,H?meenlinna ,85,98
14700 Hauho kk   ,H?meenlinna ,999,961
14770 Eteläinen   ,H?meenlinna ,463,487
14810 Pohjoinen   ,H?meenlinna ,141,159
14820 Syrjäntaka   ,H?meenlinna ,425,435
14840 Sairiala   ,H?meenlinna ,108,102
14870 Juttila   ,H?meenlinna ,117,122
14930 Sappee   ,H?meenlinna ,55,55
14960 Puutikkala   ,P?lk?ne ,39,45
14980 Kuohijoki   ,P?lk?ne ,19,26
15100 Lahti Asemanseutu   ,Lahti ,3485,2819
15110 Keski-Lahti   ,Lahti ,2721,2162
15140 Kartano-Paavola   ,Lahti ,8527,6548
15150 Möysä   ,Lahti ,2316,1992
15160 Kolava   ,Lahti ,1035,1028
15170 Tenava-Tonttila   ,Lahti ,1975,1808
15200 Kiveriö   ,Lahti ,1797,1741
15210 Kivistönmäki   ,Lahti ,2155,1986
15230 Kytölä   ,Lahti ,1362,1431
15240 Mukkula   ,Lahti ,4280,3735
15270 Kukkila   ,Hollola ,869,880
15300 Myllypohja-Koiskala   ,Lahti ,2001,2027
15320 Ahtiala   ,Lahti ,1447,1487
15340 Kunnas-Hiekkanummi   ,Lahti ,1374,1458
15460 Mäkelä   ,Lahti ,310,314
15500 Liipola   ,Lahti ,2586,2219
15520 Saksala   ,Lahti ,1201,1049
15540 Villähde   ,Lahti ,2172,2289
15550 Rakokivi   ,Lahti ,1862,1827
15560 Nastola kk   ,Lahti ,2057,1990
15580 Ruuhijärvi   ,Lahti ,106,125
15610 Laune-Nikkilä   ,Lahti ,2648,2732
15680 Renkomäki-Ämmälä   ,Lahti ,1547,1677
15700 Hennala-Jokimaa   ,Hollola ,3442,3333
15800 Kärpänen   ,Lahti ,1694,1761
15810 Kasakkamäki   ,Lahti ,669,682
15820 Okeroinen   ,Hollola ,529,581
15830 Metsäkangas   ,Lahti ,2016,1830
15840 Riihelä   ,Lahti ,996,945
15850 Likolampi   ,Lahti ,318,343
15860 Kartano   ,Hollola ,1798,1642
15870 Salpakangas   ,Hollola ,2268,1848
15880 Soramäki   ,Hollola ,2441,2400
15900 Jalkaranta   ,Lahti ,880,782
15950 Kiikkula   ,Lahti ,2210,1840
15980 Messilä   ,Hollola ,0,0
16100 Uusikylä   ,Lahti ,670,749
16160 Okkeri   ,Lahti ,46,55
16200 Artjärvi Keskus   ,Orimattila ,325,337
16230 Artjärvi Kirkonkylä   ,Orimattila ,166,162
16260 Hietana   ,Orimattila ,89,92
16270 Villikkala   ,Orimattila ,67,81
16280 Kuivanto   ,Orimattila ,287,317
16300 Orimattila Keskus   ,Orimattila ,5502,5147
16310 Virenoja   ,Orimattila ,302,341
16320 Pennala   ,Orimattila ,509,569
16330 Heinämaa   ,Orimattila ,162,175
16350 Niinikoski   ,Orimattila ,163,170
16390 Pakaa   ,Orimattila ,147,152
16450 Mallusjoki   ,Orimattila ,212,261
16500 Herrala   ,Hollola ,441,463
16510 Luhtikylä   ,Orimattila ,216,233
16540 Mertie   ,K?rk?l? ,127,152
16600 Järvelä   ,K?rk?l? ,1488,1464
16610 Kärkölä kk   ,K?rk?l? ,370,377
16630 Tennilä   ,Hollola ,165,165
16670 Lappila   ,K?rk?l? ,297,353
16710 Hollola kk   ,Hollola ,508,477
16730 Kutajärvi   ,Hollola ,508,522
16790 Manskivi   ,Hollola ,52,54
16800 Hämeenkoski   ,Hollola ,1036,1042
16900 Lammi kk   ,H?meenlinna ,2442,2425
16960 Iso-Evo   ,H?meenlinna ,89,77
16970 Evo   ,H?meenlinna ,27,56
16980 Ronni   ,H?meenlinna ,0,0
17110 Sipilä   ,Hollola ,595,590
17120 Paimela   ,Hollola ,269,298
17130 Vesivehmaa   ,Asikkala ,394,416
17150 Urajärvi   ,Asikkala ,169,199
17200 Vääksy Keskus   ,Asikkala ,2780,2527
17220 Pietilä   ,Asikkala ,69,96
17240 Kalkkinen   ,Asikkala ,176,226
17320 Asikkala   ,Asikkala ,167,169
17410 Viitaila   ,Asikkala ,112,133
17430 Kurhila   ,Asikkala ,125,148
17440 Vähimaa   ,Asikkala ,28,34
17450 Iso-Äiniö-Vähimaa   ,Asikkala ,92,108
17470 Maakeski   ,Padasjoki ,138,146
17500 Padasjoki Keskus   ,Padasjoki ,947,919
17510 Nyystölä   ,Padasjoki ,133,125
17530 Arrakoski   ,Padasjoki ,113,120
17610 Auttoinen   ,Padasjoki ,137,145
17630 Vesijako   ,Padasjoki ,52,62
17710 Torittu   ,Padasjoki ,34,37
17740 Kasiniemi-Torittu   ,Padasjoki ,24,24
17780 Harmoinen   ,Kuhmoinen ,30,36
17800 Kuhmoinen Keskus   ,Kuhmoinen ,963,861
17840 Harjunsalmi   ,Kuhmoinen ,33,41
17850 Pihlajakoski   ,Kuhmoinen ,36,44
17870 Ruolahti   ,Kuhmoinen ,27,38
17930 Päijälä   ,Kuhmoinen ,37,45
17950 Kylämä   ,Kuhmoinen ,0,0
17970 Puukkoinen   ,Kuhmoinen ,14,20
18100 Heinola Keskus   ,Heinola ,3824,3183
